Coaster	State	Type	Design	Speed	Height	Length
Millennium Force	Ohio	Steel	Sit Down	93	310	6595
Montu	Florida	Steel	Inverted	60	150	3983
New Mexico Rattler	New Mexico	Wooden	Sit Down	47	80	2750
Nitro	New Jersey	Steel	Sit Down	80	230	5394
Phantoms Revenge	Pennsylvania	Steel	Sit Down	82	160	3200
Phoenix	Pennsylvania	Wooden	Sit Down	45	78	3200
Raging Bull	Illinois	Steel	Sit Down	73	202	5057
Rampage	Alabama	Wooden	Sit Down	56	120	3500
Raptor	Ohio	Steel	Inverted	57	137	3790
Rattler	Texas	Wooden	Sit Down	65	180	5080
Raven	Indiana	Wooden	Sit Down	48	80	2731
Revolution	Tennessee	Steel	Sit Down	55	70	1565
Riddlers Revenge	California	Steel	Stand Up	65	156	4370
River King Mine Train	Missouri	Steel	Sit Down	37	32	2500
Scream!	California	Steel	Sit Down	63	150	3985
Screamer	California	Steel	Sit Down	50	90	2600
Screamin Eagle	Missouri	Wooden	Sit Down	62	110	3872
Sidewinder	Colorado	Steel	Sit Down	45	56	635
Silver Bullet	Oklahoma	Steel	Sit Down	55	83	1942
Son Of Beast	Ohio	Wooden	Sit Down	78	218	7032
Starliner	Florida	Wooden	Sit Down	55	70	2640
Steel Eel	Texas	Steel	Sit Down	65	150	3700
Steel Force	Pennsylvania	Steel	Sit Down	75	200	5600
Steel Venom	Minnesota	Steel	Inverted	68	185	630
Superman - Ride Of Steel	Massachusetts	Steel	Sit Down	77	208	5400
Superman - Ride Of Steel	New York	Steel	Sit Down	73	208	5400
Superman - Ride Of Steel	Maryland	Steel	Sit Down	73	200	5350
Superman - Ultimate Flight	Illinois	Steel	Flying	50	115	2798
Superman - Ultimate Flight	New Jersey	Steel	Flying	60	115	2759
Superman The Escape	California	Steel	Sit Down	100	415	1235
Swamp Fox	South Carolina	Wooden	Sit Down	50	75	2400
Talon	Pennsylvania	Steel	Inverted	58	135	3110
Tennessee Tornado	Tennessee	Steel	Sit Down	63	163	2682
Texas Giant	Texas	Wooden	Sit Down	65	143	4920
Thunderbolt	Pennsylvania	Wooden	Sit Down	55	70	2887
Thunderhawk	Pennsylvania	Wooden	Sit Down	45	80	2767
Timber Wolf	Missouri	Wooden	Sit Down	53	100	4230
Titan	Texas	Steel	Sit Down	85	245	5312
Top Gun	California	Steel	Inverted	50	102	2260
Top Thrill Dragster	Ohio	Steel	Sit Down	120	420	2800
Tremors	Idaho	Wooden	Sit Down	60	100	3000
Twister	Pennsylvania	Wooden	Sit Down	52	102	3900
Two-Face: The Flip Side	Maryland	Steel	Inverted	50	161	1014
Vapor Trail	Pennsylvania	Steel	Sit Down	27	43	1300
Viper	California	Steel	Sit Down	70	188	3830
Viper	Illinois	Wooden	Sit Down	50	100	3458
Viper	New York	Steel	Sit Down	50	121	3100
Volcano, The Blast Coaster	Virginia	Steel	Inverted	70	155	2757
Vortex	Ohio	Steel	Sit Down	55	148	3800
Whizzer	Illinois	Steel	Sit Down	42	70	3100
Wild One	Maryland	Wooden	Sit Down	53	98	4000
Wild Thing	Minnesota	Steel	Sit Down	74	207	5460
Wildcat	Pennsylvania	Wooden	Sit Down	50	90	3183
Wildcat	Connecticut	Wooden	Sit Down	48	85	2746
Wildcat	Oklahoma	Wooden	Sit Down	60	75	2653
Wildfire	Missouri	Steel	Sit Down	66	120	3073
Zeus	Wisconsin	Wooden	Sit Down	60	90	2900
Zippin Pippin	Tennessee	Wooden	Sit Down	40	70	2865
