GeneName,sampleA,sampleB,sampleC,sampleD,sampleE,sampleF,sampleG,sampleH
Adipoq,6.142075634,6.346701345,6.176196012,6.25024061,6.364588898,6.238000274,6.212546857,6.178433614
Tmem132cos,6.469356423,6.51641491,6.403113714,6.711725187,6.498878316,6.525865682,6.327617293,6.378838278
Zfp932,10.01547375,10.52162589,10.24646533,9.943551166,9.919378322,10.21075891,10.07098275,10.11543593
Rgs20,11.68234546,11.41420695,11.55966109,11.4498771,11.39887662,11.1779509,11.63047287,11.38352693
Gm26703,6.235676387,6.056707932,6.260746759,6.251665923,6.254097364,5.965180175,6.384930033,6.21170047
Fbp2,6.233713673,6.353281144,6.143081833,6.146819705,6.136720185,6.265011186,6.099687898,5.978663319
Slamf1,11.5972981,11.66170814,11.53808875,12.34236903,12.07435822,11.9776941,11.41568179,10.80203706
Vmn2r66,6.25734296,6.187160798,6.177422621,6.098107214,6.216094524,6.164977408,6.064732663,6.203059374
Gm31084,6.244238912,6.240334274,6.047136592,6.113768245,6.029601627,6.023500579,6.049124406,6.141536707
BI456692,6.151302375,6.162405741,6.042842872,6.135481855,6.22973955,6.205389013,6.20668354,6.122466711
Fcho2,7.93626904,7.91266976,7.292184237,7.710759745,7.547816167,7.518304081,7.742492621,7.695983784
Exoc2,12.23729977,12.79788847,11.70884133,11.66545116,11.07665651,11.67582374,11.23602009,10.96106018
LOC102640035,7.892793893,7.037635356,6.970765651,7.059982772,7.285901422,6.879093141,6.884773401,6.920848304
2810428I15Rik,10.04349169,9.638227698,9.856050466,9.978522245,9.851139269,9.979420992,9.865119028,10.09267618
Mcm8,10.48113923,10.16335619,10.57361913,10.25398832,10.38091291,10.64112952,10.71619071,10.63560513
Gm38585,6.095434738,5.889869936,6.036293031,6.075790695,6.123230421,6.102734211,6.076570301,5.973447233
LOC106740,11.37924807,10.09672787,9.057092528,11.59430021,10.88721112,9.198518646,11.00647414,10.04120297
Prdm5,6.158107452,6.484437636,6.708609414,6.216343421,6.333365817,6.544941638,6.822711209,6.705789974
Tubgcp6,11.35704718,11.38281196,11.83284476,11.63471801,11.51818407,11.69851861,11.72627488,11.83175568
Chid1,11.44683753,11.83887797,11.20926949,11.63768742,11.44647315,11.02154664,11.91690936,12.1433165
Gm19600,6.047424108,6.047809397,6.061456735,6.08913631,6.088157385,5.965878109,6.112856251,6.078292362
Med31,11.57517124,11.70272268,11.15672072,11.14320251,11.46612549,11.33420589,11.13890503,10.60720866
Gimap8,10.39609476,10.65456907,10.42086544,10.79987693,11.00128025,10.57830999,10.62129255,10.67197446
Fam193a,8.243308115,7.793736693,7.523746838,7.736944118,7.860406014,7.698289756,7.645933588,7.374055984
Nr1h2,14.44170636,14.40403516,13.5027516,13.97030022,13.9246567,13.51085945,13.62408638,13.62755366
Ncmap,7.518820837,7.674489372,6.591331476,7.553615348,6.819379477,6.542913002,6.908648757,7.017376759
Ccne2,6.987422102,7.044136606,7.635553217,7.068243742,7.161417593,7.706241624,7.312834525,7.262893379
4930538K18Rik,6.428797987,6.639412845,6.410393413,6.356039883,6.379673503,6.166239934,6.193746301,6.418512975
Gm10266,6.033815706,6.124383484,6.131326901,6.050148275,6.180352769,6.239959884,5.933622785,5.896115961
Bmx,6.090583009,6.033753545,6.00298625,6.234229255,6.051729056,6.059308271,6.050436231,5.952447669
Slc22a16,9.17878595,9.364346111,9.111205663,9.050517361,9.261841903,8.901211061,9.013264947,9.447785739
Gm34037,6.349681853,6.091897752,6.335599137,6.338899327,6.192217007,6.241560419,6.190140772,6.340901238
4930405J17Rik,6.994166233,6.780481015,6.593491387,6.767743137,6.773650418,6.743784548,6.600601657,6.713924659
Mest,6.205910454,6.507152046,6.265614409,6.18754199,6.197103744,6.112773093,6.253910118,6.243120334
Rnase9,6.231034865,6.239959884,6.297055955,6.291177671,6.283821634,6.361209457,6.253467325,6.09442396
Ndufa2,14.91733437,15.0648133,15.00852352,15.20160193,15.32100551,15.04501894,15.00627065,15.17655327
Idnk,11.51110163,11.53282714,11.89630972,11.81865007,11.780267,12.06684262,11.55706211,11.34801213
BB113845,7.56463597,7.672977961,7.721250284,7.62073808,7.659916864,7.554064815,7.839962277,8.12841453
Gm40835,7.637499509,7.502040124,7.560181777,7.852923791,7.74134024,7.58420224,7.836910867,7.871388426
Gm5464,6.622412979,6.944664627,6.814854109,6.816113123,7.21430077,6.983150211,6.691239039,7.153195925
LOC102636989,6.010330702,6.031737969,6.029332013,6.060840261,6.179801181,6.216881548,6.096654176,6.168576598
Rep15,7.81192432,7.849715549,7.794460653,8.840124504,8.017097865,7.799430866,8.337463973,7.43544411
Gm41810,6.209347296,6.189263453,6.181229161,6.039159879,6.226032276,6.158411118,6.129850676,6.129313515
AU016987,6.150857845,6.033099479,6.078413275,6.006383633,6.032456399,6.133128743,5.983446008,5.995108158
AK048047,6.373843365,6.377556059,6.328960788,6.385197436,6.334143545,6.445522643,6.484352969,6.542992012
Ctrl,7.426024285,7.53735693,7.916306958,7.215504519,7.420142507,7.817764387,7.396973285,7.3119853
Ints5,10.17125465,10.56295719,10.962989,10.05297431,10.0348506,10.76234306,10.32907485,10.46015388
Hprt,14.84047715,14.48670373,14.90099188,14.57195761,14.66266847,14.78194777,15.22191104,15.20307794
Zic5,6.095133886,6.036333647,6.322278181,5.980636326,6.236390572,6.160191398,6.193476329,6.206059356
Vmn1r66,6.590171996,6.299443036,6.374519974,6.372250794,6.474370708,6.383571511,6.391197893,6.512913951
BC024957,13.16272573,13.57340041,13.13250321,13.64170733,13.46860953,13.08818021,13.00070342,13.05802124
Ms4a4b,10.3941987,9.489203376,6.678713612,13.16153712,13.1890368,9.510605395,11.05007813,13.61700949
Mterf2,9.980076986,9.706721854,10.21930502,10.10548386,9.854008137,10.14643561,10.23170231,10.01324534
Mptx1,6.140931915,6.10731389,6.126218422,6.076783695,6.083443161,6.032396587,6.162801853,6.186109887
Arhgap9,10.70601338,10.86250339,10.8979834,11.04095701,10.75692973,10.78102675,10.4688547,11.58282325
Slc34a2,6.070128552,6.139026185,6.102275581,6.058990657,6.686947781,6.142324919,6.199104245,6.095418963
Gm24474,6.092211085,6.20777955,6.083695312,6.245351612,6.140898098,6.090255967,6.131931021,6.207204019
TC1641987,6.540093758,6.411373654,6.827115887,6.67674466,6.391173977,6.485086937,6.671025182,6.523749069
Rap2b,7.74629089,8.126748949,8.27633629,8.17461479,8.265137497,8.2341451,7.803420662,8.398882547
Bricd5,7.7717344,8.343225226,7.084942018,6.668505081,6.93051507,7.01624685,7.110016564,6.646114813
AK131781,6.112889921,6.028145968,6.058565799,6.048583836,6.107227289,6.190125494,5.995253794,6.090565883
St3gal5,7.975004465,7.571108395,9.26906812,8.233031902,8.827875242,8.879671292,8.938015568,8.766941012
NAP005004-001,10.28137058,10.11306963,10.42521208,9.903889332,9.855333035,10.36086045,10.48759982,10.26736679
Dok6,6.12945834,5.912264528,6.143130869,6.651561756,6.941471704,6.20384117,6.117814877,6.102771204
Katna1,12.3671289,12.4495261,12.13416364,12.40165024,12.32998269,12.19943126,11.74227682,11.80007002
Gm35771,7.913933272,7.948214784,7.936700533,7.805843978,7.659507382,7.836111109,8.004117984,8.094029947
Gm36279,6.314159526,6.206075863,6.32972613,6.21014154,6.38417507,6.580962031,6.341056703,6.231406409
Rasal1,7.437181801,6.889711896,7.749203877,7.249090424,8.020328206,7.433350713,7.377680681,7.711161499
Tas2r116,6.097342247,6.060390568,6.035865669,5.987233621,6.006978998,6.087489505,6.027448872,6.016098459
Defb25,6.61640957,6.489046133,6.510612007,6.554189653,6.525910964,6.386263978,6.338190695,6.50692132
4930591E09Rik,6.397647969,6.215959424,6.222279213,6.42358317,6.250390368,6.35829172,6.229977025,6.263509915
Ogg1,10.79433699,11.11705984,12.10082966,11.42835864,11.40154841,12.01249523,11.37194992,11.64981326
Slc26a8,6.178359975,6.159480447,6.314009172,6.215115451,6.263827448,6.207497425,6.250965197,6.245074022
Lrrc30,6.423625051,6.342148896,6.331830105,6.272475839,6.199909977,6.332166555,6.306216195,6.120416718
Mon1b,11.52751609,12.02342678,11.60625255,11.89588889,12.12247846,11.65266373,11.3789859,11.58480527
Phactr2,10.67407967,10.40078376,10.16544397,11.04806274,11.06075827,10.31775027,10.65288753,9.122361388
Tex35,6.37141343,6.326361409,6.455626855,6.373864544,6.305986821,6.435252163,6.365985689,6.367927192
AK089445,6.44848552,6.540887343,6.472631165,6.470312235,6.478226134,6.273976187,6.624873138,6.731192299
2810403G07Rik,7.476342579,8.196385242,6.97876298,7.557862247,6.641616758,7.15465765,7.647413482,6.269084623
Abhd2,10.45803947,10.50310109,11.05793868,11.08060001,11.93302514,11.66170814,11.00609457,10.99919994
Crygd,6.867946367,6.736745478,6.723855418,6.81249806,6.848287745,6.89162526,6.656955128,6.661037231
Olfr845,7.100541405,6.988338918,7.186447231,7.253391624,7.068113962,6.944441521,7.35105557,7.694347973
AK154091,7.45242962,7.31533257,7.22086171,7.237906195,7.36045699,7.153029702,7.576115314,7.713551156
Bex4,6.867312748,6.379584021,6.464790818,6.515136402,6.569079387,6.246474649,6.462231092,6.163392591
Klrb1-ps1,6.902158694,6.759680259,6.484321561,6.471773543,6.480721748,6.233463243,6.590185371,6.691954194
Spaca4,9.465363512,9.479423862,9.257086491,9.591790823,9.423827788,8.899101838,9.626152668,10.03524912
Dnajb9,7.377341597,7.419560071,6.897021311,7.779354264,7.599295343,7.197279438,6.988884589,6.995854134
Gm9744,6.380509052,6.420075917,6.33043438,6.531673458,6.543542746,6.518019428,6.469316902,6.595918676
Gm36703,6.171102132,6.197494463,6.030593341,6.242700354,6.212180191,6.146731248,6.097480604,6.139076688
Hsd3b2,11.73137639,12.41090331,11.88316523,12.22732841,12.43802843,11.84349567,11.95793166,12.06023529
Tbc1d7,10.13350357,10.09142041,10.64564614,10.16573862,10.2880418,10.64658814,10.45778655,10.60751167
Nhej1,10.13493739,9.640464209,10.31775027,10.38611567,10.5344151,10.30854108,10.18777186,9.854475949
AI596198,6.529759796,6.379325309,6.82362099,6.550039445,6.355179399,6.675381584,6.877041002,6.718885713
DR065772,6.325725882,6.165251651,6.181527512,6.296918511,6.148418112,6.283235815,6.364588898,6.146117756
AK036131,8.319617244,8.179096269,8.405254057,8.825335955,8.933215475,8.519586777,8.308341033,8.075974152
Med20,11.13584995,11.2349373,11.11801583,10.96222296,10.85711883,10.9847262,10.84305289,11.05007813
Ifrd1,12.64866535,11.70696882,12.21781227,13.37865277,12.71786515,12.33168202,12.84456919,11.63945713
Ctnnbl1,13.25229569,13.14892795,13.4865193,13.32458635,13.0632525,13.35517666,13.39491158,14.05471793
Gnb5,7.724235642,7.739339039,7.51174385,7.929618949,8.447321004,8.242616616,7.89202074,7.871173882
Spata2,13.02129899,13.20513186,12.93293914,12.99571669,12.90685757,12.92644956,12.8996069,12.70297715
Dhdh,9.709649521,10.34157669,10.01984271,9.343707032,9.719170454,9.99067134,9.689580539,9.421452136
Enthd1,6.416269528,6.419905789,6.288149269,6.254086717,6.203966249,6.178021165,6.564443229,6.269208709
Gm30636,6.355258099,6.463777133,6.925663035,6.298644944,6.504388302,7.541874506,6.218967201,6.163527536
N4bp1,11.67979933,11.90176671,10.87416084,12.22428626,11.36158578,10.92818329,11.30824847,10.08490883
1810013D15Rik,6.233128116,6.316372916,8.044884789,6.146405202,6.182696093,6.306745849,6.209020438,6.282236594
1700112E06Rik,6.078347644,6.191254413,6.05990296,6.319067313,6.072497699,6.113394789,6.180507296,6.13479749
Gm30564,5.877890798,5.997124192,6.032080746,5.861441011,6.041347827,6.043124773,5.990556611,6.042691679
Rbfox3,5.822476922,6.344831015,5.942837107,6.119686257,6.04666357,6.328396599,5.962721158,6.057932622
Csf3r,15.82843432,15.96002923,15.80633473,15.96002923,15.96429054,15.75280301,16.10787192,16.14615395
Nrl,6.215662284,6.188045101,6.186605085,6.319174392,6.186173718,6.243649824,6.149272548,6.189553142
Msx3,6.198711814,6.164592541,6.225922044,6.345180089,6.432453531,6.239103966,6.137440876,6.199235348
Hand2,6.601866659,6.88796955,7.095169572,6.588567131,6.935770933,6.483463385,6.445385522,6.396362606
AK042249,6.286727255,6.359858096,6.369447119,6.094576839,6.269657816,6.085407207,6.28049616,6.308696597
Olfr618,6.127529557,6.041798658,6.055905153,6.157423952,6.182747475,6.253555665,6.099207657,6.142216785
Commd3,13.67842184,14.10719843,13.584356,14.01860487,14.08177923,13.60062581,13.78914631,14.08991561
P2rx1,6.556049699,6.41551327,6.497272785,6.613232071,6.543081637,6.456015914,6.498734752,6.636164626
Cyp4f17,8.519200205,9.070519845,8.791933403,9.310961166,9.158825461,8.756180304,8.351954278,8.947700626
Steap4,6.241566797,6.1466265,6.130873406,6.157895118,5.954536401,6.040693783,6.126837285,6.09637109
Gm30556,6.135435815,6.165345419,6.27799392,6.101023366,6.345903873,6.31527801,6.084628054,6.057595217
B930053N02Rik,6.174555793,6.169664774,6.109733831,5.946860622,6.201053589,6.045084819,6.05732199,6.027602661
E530001K10Rik,6.085812049,6.149020447,6.152060146,5.998351834,6.00832074,6.038862818,6.093319507,6.152021773
Gm31925,6.133868251,6.135187649,6.144337153,6.134013741,6.210039011,6.150408995,6.113959091,6.16806191
BB872135,6.20409014,6.39640317,6.317766929,6.433431893,6.419199305,6.509509005,6.422212865,6.373312369
5830469G19Rik,12.60443282,12.55667805,11.81632409,12.2342614,12.31856306,11.76940171,12.04404434,12.18186622
Gm34596,6.507607726,6.468209182,6.37141343,6.346918621,6.266202785,6.405583791,6.509303623,6.425330967
Mtcp1,7.531445817,7.355100238,7.459680536,7.777392924,7.511309124,7.641649427,7.519999267,7.637655574
Hsd17b6,6.435767522,6.407981114,6.231790048,6.38923587,6.230106452,6.324078755,6.43646262,6.364162274
2610016A17Rik,6.087367596,6.198009038,5.98363043,6.053900084,6.117740562,6.082845664,6.19483007,6.161409241
A930018P22Rik,6.792086367,6.583740183,6.584188761,6.707572309,6.695977005,6.753488561,6.663434998,6.552990461
Olfr559,6.68628018,6.422651213,6.527750494,6.536622572,6.460001466,6.565639253,6.354083188,6.511222981
Gm5476,6.280664345,6.31119104,6.21360705,6.246404334,6.264611856,6.333764535,6.166528238,6.047324681
F830016B08Rik,10.77665091,11.81398973,11.24246279,11.3983307,11.57104213,11.11430838,10.78066059,11.17714676
Spag4,7.52597914,7.430993042,7.328909142,7.540248456,7.289177887,7.402876226,7.671169516,7.211859726
BC024929,6.052177921,5.960719029,6.045223334,6.016909782,5.942331208,5.951052981,6.038446092,6.187779472
Nipsnap1,11.33902194,11.3623408,11.94426109,11.33153929,11.35982105,11.88506929,11.58798386,11.46475118
Fam76b,11.50747037,11.52590835,10.96937726,11.56787269,11.53282714,10.9256067,11.2666108,11.52001129
Klf15,6.325145476,6.15370163,6.216343421,6.151001219,6.290093288,6.275473876,6.233157778,6.179430017
Sdpr,6.554846077,6.386887961,6.505474804,6.672421613,6.638264887,6.555705556,6.399730712,6.448738163
Eef1a2,6.217279718,6.115172011,6.146109586,6.281930609,6.24257463,6.232314884,5.983328864,6.134306103
Nrsn1,6.225894085,6.216090579,6.059225209,6.094475312,6.166707027,6.12055229,6.14794283,6.071630372
Nlrp3,6.596956853,6.630490787,6.552089564,6.714545301,6.572505107,6.722558435,6.601662808,6.804964955
Krt7,6.361900028,6.29222138,6.361068683,6.443589867,6.473336151,6.523815041,6.37303735,6.413770264
Faim,11.50104317,11.55560327,11.59399802,11.63018173,11.60508991,11.76772791,11.25871947,11.57652808
LOC102641648,13.97192926,13.82140244,14.23168236,13.42267141,13.32399276,14.08342023,13.8645969,13.72060508
Apold1,7.234113081,7.472066355,6.798881963,7.409711528,7.370356381,7.058261047,7.461934904,7.389861617
NAP059579-1,6.223052943,6.15125402,6.145980878,6.108657116,6.211252666,6.102860125,6.294792435,6.161188777
Rpia,10.72192799,10.41985827,11.86544555,10.9395858,11.15605966,11.72488477,11.48819011,11.53253255
Lrpprc,13.043772,12.50666688,13.71188002,12.93975606,12.87336279,13.53614528,13.70953518,13.60718505
Adam18,6.111344286,6.079964737,6.000373463,5.967031495,6.209061114,6.128240854,6.13302565,6.007252742
Uso1,11.58359547,11.50692856,11.90655208,12.1500748,11.83737929,11.88992865,11.66760511,11.62521072
Dpy19l2,6.054970125,6.107101141,6.030515192,6.043711257,6.113260696,6.074451807,6.07417935,5.998351834
1700034P13Rik,7.772430173,7.744933891,7.551575595,7.940257967,7.694059183,7.598142987,7.678067531,7.755428356
C1ql3,6.977348893,7.882552995,6.883084098,6.507911747,7.21321597,6.835796542,6.180193032,6.032946574
Cemip,6.343351988,6.101588967,6.071730857,6.054433629,6.158086623,6.026056036,6.095948907,6.183395685
9630009A06Rik,6.002547429,6.230834287,6.049762433,6.131311118,6.118939005,6.100113323,6.052828878,6.164643187
Nrxn1,6.106607378,6.045755889,6.045396658,6.091233783,6.028674763,6.150825248,6.059369491,6.032167608
9530052E02Rik,6.4363622,6.874106582,6.257915256,6.475295256,6.490153329,6.229862696,6.222722332,6.301560963
9130230N09Rik,9.07629571,9.555658464,9.689580539,9.871501765,9.888073553,9.825179069,8.69139581,8.329344571
Cox7a2,15.15668535,15.03013414,15.30765936,15.0623215,15.294212,15.36170133,15.37749843,15.24470498
Rabggtb,13.56028445,13.32399276,12.64202574,12.60401407,12.6502062,12.55875457,12.89148813,12.69565675
Zfp2,6.382716465,6.288746696,6.280104621,6.352459436,6.457977138,6.277811172,6.357265494,6.194651702
Gnrhr,6.048900377,6.149363565,6.27177548,6.093697774,5.997423276,6.123230421,6.116613929,6.324038894
NAP030898-1,6.357357723,6.10683453,7.727639553,6.183651249,6.327151054,6.338459404,6.440115355,6.481007305
Gm31729,6.095644499,6.033957421,6.068748698,6.034985575,6.10079613,6.086634633,6.203948411,6.138107509
Lmtk3,6.193989157,6.104421722,6.173299492,6.209704,6.0683449,6.209809459,6.187879841,6.213323192
AK143957,6.040565406,6.090349251,6.144790902,6.077296482,6.117459083,6.02238493,6.333892473,6.096710491
Rasl11a,6.312549397,6.406800226,6.632319478,6.407540666,6.33483924,6.532717124,6.618038545,7.194477202
Hmox1,10.50180758,10.05022383,10.32950222,12.38934163,11.73489829,10.27792394,11.13220964,9.918496031
Gm4211,6.298621988,6.576206038,6.199625589,6.253456549,6.110291752,6.148668157,6.422521784,6.113238071
Gm5155,6.118963058,6.030117994,6.011465887,6.222708158,6.057215208,6.120691494,6.220711078,6.121383149
P2ry12,6.322995417,6.625532883,6.524313158,6.161031873,6.243568304,6.539078611,6.274551594,6.286754308
Ppt1,10.00131437,10.52865367,12.0317793,9.240963557,9.590935568,10.4401028,9.526709288,11.82207537
Kcna2,6.072581735,6.09733358,6.12329913,6.265749829,6.045619696,6.174422005,6.15327788,6.189553142
Tmem180,10.75326378,10.30149053,11.40564118,10.64023993,11.13584995,11.00062278,11.33006429,10.76273896
Gm32635,6.166965998,6.438628607,6.379693288,6.335990844,6.495620663,6.478678921,6.412023713,6.468095858
Ermap,6.236848388,6.358234982,6.266211532,6.179448891,6.154984074,6.332862758,6.294245578,6.290510001
Tmem147,12.46268607,12.44123141,12.98546727,12.32532319,12.27498008,12.78569551,12.59305427,12.77617689
Usp20,11.4710547,11.75006819,11.34042796,11.91759291,11.9846523,11.56960373,11.44131794,11.96436924
Pvt1,10.59263937,10.12861122,9.523637847,10.56363484,9.981576079,9.518671274,9.886047344,9.925334017
7530416G11Rik,5.999496371,5.877250629,6.008604871,6.01546188,5.984869624,5.980700061,6.13420967,5.96584883
Ice1,11.01535084,10.87711185,10.70419709,11.01895196,10.97519223,10.78310678,11.06603534,10.8232965
A_55_P2564373,6.21289792,6.434268457,6.471388631,6.082759259,6.162945105,6.264238941,6.181484794,6.292608162
Gm36913,6.551902975,6.594604474,6.686598778,7.15121783,7.008938648,6.819480401,6.569582165,6.740130019
D12895,6.258743896,6.178958472,6.311994904,6.292070879,6.125844551,6.528259688,6.282663406,6.467678388
Cnn1,6.346050693,6.242261104,6.277628605,6.271694112,6.242635838,6.083063301,6.186507271,6.158821595
Tra2a,10.3340462,9.17755052,9.290520553,9.258323731,8.878450793,9.052696083,10.26980539,9.76630686
Bag1,15.04501894,15.02008346,15.48840746,15.16297738,15.265794,15.5418203,15.3440199,15.49123361
Rab27b,6.159973091,6.10999826,6.255913435,6.25113014,6.116851182,6.230742649,6.254332746,6.155072767
Gm9776,6.577175548,6.507911747,6.436600172,6.662731168,6.687169917,6.489871116,6.621700088,6.564060601
Tgfbrap1,10.70897855,11.07876328,10.85387556,11.3972961,11.68050749,11.03513748,10.93226745,11.15346166
Cep295,10.22576601,9.771623445,9.991100393,9.739275689,9.606276755,9.768569824,10.23676215,10.37519062
BY475620,6.147138851,6.093456828,5.988003854,5.972696128,6.063294414,6.191103088,6.140362069,6.186013596
2010204K13Rik,10.94535335,10.75289779,11.27174342,9.772458971,9.535849889,10.91499727,11.29565026,10.6709513
4930509J09Rik,5.946766333,6.081197611,6.106684548,6.109735948,6.218324516,6.268369103,6.085812049,6.126124321
Gm19866,6.381673092,6.379067457,6.411795615,6.227026993,6.278672971,6.340109396,6.332840591,6.400015527
Mlf2,10.23537406,10.16490673,11.25125048,10.42287172,10.76169299,11.20293036,10.65980424,10.29810929
BG067755,6.594885876,6.55586705,6.473831821,6.631693083,6.409089408,6.606462148,6.319064153,6.518610276
Platr10,6.151158465,6.147519051,5.977603684,6.174822577,6.076365262,6.219084017,6.073699086,6.262704613
Tmem126b,9.062692817,8.923119102,9.156063647,8.90763445,9.022684835,9.334076683,9.237690345,9.255071577
Cnga4,6.130517825,5.996008858,6.006281133,6.10245798,6.155530696,6.051101507,5.976362343,6.078871515
Radil,10.5291615,10.64362282,10.23725023,10.80758899,10.92980105,10.22576601,10.66874306,10.91098773
Cenpo,11.011484,10.83529279,11.31323479,11.38165917,11.30730081,11.37924807,11.33518377,11.87306307
LOC102642717,6.298324493,6.569001092,6.322202454,6.76946101,6.568363197,6.371929215,6.39429752,6.553695828
Lsm2,13.71817699,13.62197287,14.44394529,13.64499605,13.56792321,14.29109008,14.01860487,14.00763471
Anapc15,10.41270473,10.01691187,10.99295981,10.44515372,10.20738795,10.88487501,10.75460858,11.07288651
Fzd2,6.132747799,6.011784234,6.17698549,6.00516221,6.214886735,6.086922076,6.142489833,6.073995975
Abhd13,9.701146743,9.76827137,10.2272979,10.15177848,9.932168185,10.2935363,9.914518924,9.791634404
Rnf170,10.91529306,11.92379387,10.80339757,11.65509072,11.64564604,11.05793868,10.92524873,11.09931259
4930481A15Rik,9.482043508,9.132858172,10.10529222,9.403773474,9.484401828,10.07332436,9.787576708,9.754369363
Gm17727,6.206127858,6.181920369,6.18617929,6.24915627,6.263352585,6.142430705,6.190140772,6.287329634
Vmn1r77,6.286617128,6.386249097,6.334433649,6.273031833,6.365811262,6.405823287,6.296775278,6.394504885
Car10,6.011721668,6.033226162,6.09327379,6.088959024,6.185332249,6.033857746,6.112768764,6.168131405
Zp2,6.164400629,6.013170455,6.007591621,6.032590784,5.934131916,5.972564132,5.892187752,5.940410915
Tor4a,10.74117817,11.30260629,11.4088841,10.95491723,11.27317111,11.17952821,11.01962498,11.64749298
Cblc,6.369576108,6.361900028,6.307382364,6.960647888,6.404023782,6.412243757,6.288051411,6.323309634
Dreh,6.236643986,6.302699526,6.224203605,6.194954671,6.194804475,6.075558408,6.413254725,6.513900235
Irs3,7.051219608,6.733258963,6.711319097,6.768656706,6.871130453,6.797873159,6.797435397,6.939849929
Phf11a,7.377114594,8.680602265,8.351261618,9.352787802,9.953497294,8.990678126,7.644425937,11.12532423
Hnrnpul1,11.73095722,11.10664188,11.29429049,11.54614332,11.41500707,11.38804788,11.49849015,11.86419017
9430007A20Rik,6.190658608,6.210016956,6.186369596,6.109735948,6.018983481,6.15388429,6.14168026,6.1230145
Btnl5-ps,6.24393305,6.200518996,6.401846616,6.227591273,6.311014634,6.243474689,6.221377132,6.215268933
Hsd3b4,6.247394723,6.261646431,6.279211162,6.116129584,6.099238766,6.10891287,6.039471603,6.180746276
Hnf4g,6.786403286,6.625170856,6.531402074,6.514281727,6.425891319,6.410421933,6.710695852,6.682323349
AK036053,7.004793381,6.791401378,6.691195126,6.842404092,6.767230619,6.803415133,6.703510631,6.626708351
Skida1,6.081816298,5.85600918,6.314418533,6.716417857,6.026768239,6.45640498,6.248162358,5.98473994
